source,url,rating,year,last_update
Alchemy Of Souls: Light And Shadow,https://thefangirlverdict.com/2023/01/16/review-alchemy-of-souls-light-and-shadow/,B++,2023,13 October 2024
All About Eve,http://thefangirlverdict.com/2014/02/24/review-all-about-eve/,A-,2014,13 October 2024
Always [Only You] [Movie],https://thefangirlverdict.com/2021/10/29/flash-review-always-only-you-movie/,B+,2021,13 October 2024
An Empress’s Dignity [The Last Empress],http://thefangirlverdict.com/2019/02/27/flash-review-the-last-empress-an-empresss-dignity/,B,2019,13 October 2024
An Incurable Case Of Love [Love Lasts Forever] [Japan],http://thefangirlverdict.com/2020/06/30/flash-review-love-lasts-forever-an-incurable-case-of-love-japan/,B-,2020,13 October 2024
Angel’s Last Mission: Love,http://thefangirlverdict.com/2019/07/12/dropped-angels-last-mission-love/,D,2019,13 October 2024
Angry Mom,http://thefangirlverdict.com/2015/06/01/review-angry-mom/,A,2015,13 October 2024
Another Oh Hae Young [Oh Hae Young Again],http://thefangirlverdict.com/2016/07/05/review-oh-hae-young-again-another-oh-hae-young/,A-,2016,13 October 2024
"Answer Me, 1988 [Reply 1988]",http://thefangirlverdict.com/2016/02/21/review-answer-me-1988-reply-1988/,A,2016,13 October 2024
"Answer Me, 1994 [Reply 1994]",http://thefangirlverdict.com/2015/04/01/review-answer-me-1994-reply-1994/,A-,2015,13 October 2024
"Answer Me, 1997 [Reply 1997]",http://thefangirlverdict.com/2012/12/15/review-answer-me-1997/,A-,2012,13 October 2024
Amidst A Snowstorm Of Love [China],https://thefangirlverdict.com/2024/06/30/review-amidst-a-snowstorm-of-love-china/,B+,2024,13 October 2024
Arang and the Magistrate,http://thefangirlverdict.com/2012/12/12/review-arang-and-the-magistrate/,A,2012,13 October 2024
Are You Human Too?,http://thefangirlverdict.com/2018/08/18/review-are-you-human-too/,B+,2018,13 October 2024
As One [Movie],https://thefangirlverdict.com/2021/11/09/flash-review-as-one-movie/,A-,2021,13 October 2024
Ashes Of Love [China],http://thefangirlverdict.com/2019/04/12/dropped-ashes-of-love-china/,D,2019,13 October 2024
"At A Distance, Spring Is Green",https://thefangirlverdict.com/2021/11/29/dropped-at-a-distance-spring-is-green/,D,2021,13 October 2024
At Eighteen [A Moment At Eighteen],http://thefangirlverdict.com/2020/04/21/review-at-eighteen-a-moment-at-eighteen/,A-,2020,13 October 2024
"Atypical Family, The",https://thefangirlverdict.com/2024/06/23/review-the-atypical-family/,B+,2024,13 October 2024
Bad And Crazy,https://thefangirlverdict.com/2022/02/04/dropped-bad-and-crazy/,D,2022,13 October 2024
Bad Guys,http://thefangirlverdict.com/2015/01/30/review-bad-guys/,B+,2015,13 October 2024
Bad Guys 2 – City Of Evil,http://thefangirlverdict.com/2018/04/03/dropped-bad-guys-2-city-of-evil/,D,2018,13 October 2024
"Ballot, The [IntoThe Ring] [Memorials]",https://thefangirlverdict.com/2020/11/13/review-into-the-ring-memorials/,B+,2020,13 October 2024
Be Melodramatic [Melo Suits Me],http://thefangirlverdict.com/2019/11/23/review-be-melodramatic-melo-suits-me/,A-,2019,13 October 2024
Be Positive [Web Drama],https://thefangirlverdict.com/2021/01/25/flash-review-be-positive-web-drama/,B-,2021,13 October 2024
Beating Again [Falling For Innocence],http://thefangirlverdict.com/2015/06/30/review-falling-for-innocence/,B+,2015,13 October 2024
Beautiful Days,http://thefangirlverdict.com/2013/03/14/review-beautiful-days/,A-,2013,13 October 2024
Beautiful Gong Shim,http://thefangirlverdict.com/2016/07/13/dropped-beautiful-gong-shim/,D,2016,13 October 2024
"Beauty Inside, The [Drama]",http://thefangirlverdict.com/2018/12/19/review-beauty-inside/,B+,2018,13 October 2024
"Beauty Inside, The [Movie]",http://thefangirlverdict.com/2016/01/06/flash-review-beauty-inside-movie/,B,2016,13 October 2024
Because It’s The First Time,http://thefangirlverdict.com/2015/12/21/flash-review-because-its-the-first-time/,B+,2015,13 October 2024
Because This Is My First Life [This Life Is Our First],http://thefangirlverdict.com/2017/12/04/flash-review-because-this-is-my-first-life/,A-,2017,13 October 2024
Beloved Eun Dong [My Love Eun Dong],http://thefangirlverdict.com/2015/08/17/review-my-love-eun-dong/,B-,2015,13 October 2024
"Best Hit, The",http://thefangirlverdict.com/2017/10/28/flash-review-the-best-hit/,B-,2017,13 October 2024
Beyond Evil [Monster],https://thefangirlverdict.com/2021/07/04/review-beyond-evil-monster/,A,2021,13 October 2024
Big,http://thefangirlverdict.com/2012/12/12/review-big/,B-,2012,13 October 2024
Bite Sisters [Web Drama],https://thefangirlverdict.com/2021/11/26/flash-review-bite-sisters-web-drama/,B-,2021,13 October 2024
Black Knight,https://thefangirlverdict.com/2023/06/12/flash-review-black-knight/,B+,2023,13 October 2024
Blood Free,https://thefangirlverdict.com/2024/06/02/review-blood-free/,B+,2024,13 October 2024
Bloody Heart [Red Single Heart],https://thefangirlverdict.com/2022/07/18/review-bloody-heart/,B+,2022,13 October 2024
Bo Ra! Deborah [True To Love],https://thefangirlverdict.com/2023/06/04/review-true-to-love-bo-ra-deborah/,B-,2023,13 October 2024
"Bond, The [China]",https://thefangirlverdict.com/2022/01/14/review-the-bond-china/,B++,2022,13 October 2024
Boss & Me [Shan Shan Comes To Eat] [China],http://thefangirlverdict.com/2017/11/01/flash-review-shan-shan-comes-to-eat-boss-me-china/,B,2017,13 October 2024
Bossam: Steal The Fate,https://thefangirlverdict.com/2021/10/07/review-bossam-steal-the-fate/,B+,2021,13 October 2024
Boyfriend [Encounter],http://thefangirlverdict.com/2019/01/19/dropped-boyfriend-encounter/,D,2019,13 October 2024
"Breakup Probation, A Week [Mini Series]",https://thefangirlverdict.com/2021/10/22/review-breakup-probation-a-week-mini-series/,B,2021,13 October 2024
Bridal Mask [Gaksital],http://thefangirlverdict.com/2013/04/04/review-gaksital-bridal-mask/,A+,2013,13 October 2024
Bride In Sneakers [Drama Special],https://thefangirlverdict.com/2021/11/05/flash-review-bride-in-sneakers-drama-special/,B+,2021,13 October 2024
Bride of the Century,http://thefangirlverdict.com/2014/04/19/review-bride-of-the-century/,A-,2014,13 October 2024
"Bring It On, Ghost [Let’s Fight, Ghost]",http://thefangirlverdict.com/2016/09/30/flash-review-bring-it-on-ghost-lets-fight-ghost/,B,2016,13 October 2024
Bromance [TW Drama],http://thefangirlverdict.com/2016/02/26/flash-review-bromance-tw-drama/,B,2016,13 October 2024
"Business Proposal, A",https://thefangirlverdict.com/2022/05/08/review-a-business-proposal/,B+,2022,13 October 2024
Call It Love,https://thefangirlverdict.com/2023/05/14/review-call-it-love/,A-,2023,13 October 2024
Came To Me And Became A Star [Drama Special],https://thefangirlverdict.com/2021/07/15/flash-review-came-to-me-and-became-a-star-drama-special/,B+,2021,13 October 2024
Cantabile Tomorrow [Tomorrow Cantabile] [Nae Il’s Cantabile],http://thefangirlverdict.com/2015/07/20/flash-review-cantabile-tomorrow/,B-,2015,13 October 2024
Captivating The King,https://thefangirlverdict.com/2024/05/19/review-captivating-the-king/,B+,2024,13 October 2024
Castaway Diva [Full Review],https://thefangirlverdict.com/2023/12/24/review-castaway-diva/,B,2023,13 October 2024
Check Out The Event [Please Check The Event] [Drama Special],https://thefangirlverdict.com/2021/10/10/flash-review-check-out-the-event-drama-special/,B-,2021,13 October 2024
Cheer Up [Sassy Go Go],http://thefangirlverdict.com/2015/11/29/review-sassy-go-go-cheer-up/,B,2015,13 October 2024
Cheese In The Trap,http://thefangirlverdict.com/2016/04/21/flash-review-cheese-in-the-trap/,B-,2016,13 October 2024
Chicago Typewriter,http://thefangirlverdict.com/2019/04/11/flash-review-chicago-typewriter/,B++,2019,13 October 2024
Chuno [Slave Hunter],http://thefangirlverdict.com/2013/07/27/review-chuno-slave-hunter/,A++,2013,13 October 2024
Cinderella at 2 AM,https://thefangirlverdict.com/2024/10/06/review-cinderella-at-2-am/,B,2024,13 October 2024
Circle,http://thefangirlverdict.com/2019/07/06/flash-review-circle/,B++,2019,13 October 2024
Coffee Prince [The 1st Shop Of Coffee Prince],http://thefangirlverdict.com/2019/01/03/review-coffee-prince/,A,2019,13 October 2024
Confession,https://thefangirlverdict.com/2022/04/26/review-confession/,B++,2022,13 October 2024
Couple On The Backtrack [Go Back Couple],http://thefangirlverdict.com/2018/01/07/flash-review-go-back-spouses/,B++,2018,13 October 2024
"Couple’s World, A [World Of The Married]",http://thefangirlverdict.com/2020/07/21/review-a-couples-world-world-of-the-married/,A-,2020,13 October 2024
Crash Course In Romance,https://thefangirlverdict.com/2023/03/12/review-crash-course-in-romance/,B+,2023,13 October 2024
Crash Landing On You,http://thefangirlverdict.com/2020/03/06/review-crash-landing-on-you/,B++,2020,13 October 2024
"Crowned Clown, The",http://thefangirlverdict.com/2019/03/25/review-the-crowned-clown/,A,2019,13 October 2024
Cruel City [Heartless City],http://thefangirlverdict.com/2016/04/01/flash-review-heartless-city-cruel-city/,B+,2016,13 October 2024
Cunning Single Lady [Sly and Single Again],http://thefangirlverdict.com/2014/07/24/review-cunning-single-lady-sly-and-single-again/,B+,2014,13 October 2024
D.P. [Deserter Pursuit],https://thefangirlverdict.com/2021/10/26/review-d-p-deserter-pursuit/,A-,2021,13 October 2024
Daily Dose Of Sunshine,https://thefangirlverdict.com/2024/01/07/review-daily-dose-of-sunshine/,A-,2024,13 October 2024
Dali and the Cocky Prince,https://thefangirlverdict.com/2021/12/14/dropped-dali-and-the-cocky-prince/,D,2021,13 October 2024
Dating Agency Cyrano,http://thefangirlverdict.com/2015/01/23/review-dating-agency-cyrano/,B-,2015,13 October 2024
Dazzling [The Light In Your Eyes] [Radiant],http://thefangirlverdict.com/2019/04/29/flash-review-the-light-in-your-eyes-dazzling/,A,2019,13 October 2024
Descendants of the Sun,http://thefangirlverdict.com/2016/05/11/review-descendants-of-the-sun/,B,2016,13 October 2024
Designated Survivor: 60 Days,http://thefangirlverdict.com/2019/12/30/flash-review-designated-survivor-60-days/,B+,2019,13 October 2024
"Devil Judge, The",https://thefangirlverdict.com/2021/09/20/review-the-devil-judge/,B-,2021,13 October 2024
Do You Like Brahms?,https://thefangirlverdict.com/2020/12/10/review-do-you-like-brahms/,B++,2020,13 October 2024
Doctor Cha,https://thefangirlverdict.com/2023/07/09/review-doctor-cha/,B+,2023,13 October 2024
Doctor Slump,https://thefangirlverdict.com/2024/05/12/review-doctor-slump/,B,2024,13 October 2024
Doctors,http://thefangirlverdict.com/2016/11/28/flash-review-doctors/,C+,2016,13 October 2024
Doom At Your Service,https://thefangirlverdict.com/2021/07/08/dropped-doom-at-your-service/,D,2021,13 October 2024
Dr. Romantic 2,https://thefangirlverdict.com/2023/05/21/flash-review-dr-romantic-2/,A-,2023,13 October 2024
Dr. Romantic 3,https://thefangirlverdict.com/2023/08/14/review-dr-romantic-3/,B++,2023,13 October 2024
Dream High,http://thefangirlverdict.com/2014/05/02/review-dream-high/,A,2014,13 October 2024
Dream High 2,http://thefangirlverdict.com/2012/12/27/review-dream-high-2/,D+,2012,13 October 2024
"Dream Of Splendor, A [China]",https://thefangirlverdict.com/2022/09/18/review-a-dream-of-splendor-china/,B+,2022,13 October 2024
Dreaming of a Freaking Fairytale,https://thefangirlverdict.com/2024/07/14/review-dreaming-of-a-freaking-fairytale/,B,2024,13 October 2024
"Dude In Me, The [Inside Me] [Movie]",http://thefangirlverdict.com/2019/04/13/flash-review-the-dude-in-me-inside-me-movie/,C++,2019,13 October 2024
Eighteen Again,https://thefangirlverdict.com/2021/01/08/review-18-again/,A,2021,13 October 2024
Encounter [Boyfriend],http://thefangirlverdict.com/2019/01/19/dropped-boyfriend-encounter/,D,2019,13 October 2024
"Equator Man, The",http://thefangirlverdict.com/2013/01/17/review-the-equator-man/,C,2013,13 October 2024
"Eternal Love, The [China]",http://thefangirlverdict.com/2017/10/02/flash-review-the-eternal-love-china/,C,2017,13 October 2024
Eternal Love: Ten Miles Of Peach Blossoms,http://thefangirlverdict.com/2017/04/13/flash-review-ten-miles-of-peach-blossom-china/,A-,2017,13 October 2024
Everything And Nothing [Mini Series],https://thefangirlverdict.com/2022/04/11/flash-review-everything-and-nothing-mini-series/,B+,2022,13 October 2024
Ex-Girlfriend Club,http://thefangirlverdict.com/2015/12/02/dropped-ex-girlfriend-club/,D,2015,13 October 2024
Extraordinary Attorney Woo,https://thefangirlverdict.com/2022/09/25/review-extraordinary-attorney-woo/,B+,2022,13 October 2024
Extraordinary You,http://thefangirlverdict.com/2019/11/29/dropped-extraordinary-you/,D,2019,13 October 2024
EXO Next Door,http://thefangirlverdict.com/2016/01/18/flash-review-exo-next-door/,B-,2016,13 October 2024
Eye Love You [Japan],https://thefangirlverdict.com/2024/05/26/flash-review-eye-love-you-japan/,B+,2024,13 October 2024
Fall In Love At First Kiss 2019 [TW Movie],http://thefangirlverdict.com/2019/03/26/flash-review-fall-in-love-at-first-kiss-2019-tw-movie/,C++,2019,13 October 2024
Fall In Love With Me [TW Drama],http://thefangirlverdict.com/2016/05/05/flash-review-fall-in-love-with-me-tw-drama/,C+,2016,13 October 2024
Falling For Innocence [Beating Again],http://thefangirlverdict.com/2015/06/30/review-falling-for-innocence/,B+,2015,13 October 2024
Falling Into You [China],https://thefangirlverdict.com/2024/07/28/flash-review-falling-into-you-china/,B+,2024,13 October 2024
Familiar Wife,http://thefangirlverdict.com/2018/11/28/flash-review-familiar-wife/,B++,2018,13 October 2024
"Fan Letter, Please",https://thefangirlverdict.com/2023/03/13/flash-review-fan-letter-please/,B+,2023,13 October 2024
Fated To Love You,http://thefangirlverdict.com/2014/10/20/review-fated-to-love-you/,A-,2014,13 October 2024
Fates and Furies,http://thefangirlverdict.com/2019/03/05/flash-review-fates-and-furies/,B-,2019,13 October 2024
Father Is Strange,http://thefangirlverdict.com/2017/09/11/flash-review-father-is-strange/,A,2017,13 October 2024
Feelings [Neukkim],http://thefangirlverdict.com/2014/11/06/review-feelings-neukkim/,B,2014,13 October 2024
Fermentation Family [Kimchi Family],http://thefangirlverdict.com/2012/12/12/review-fermentation-family/,B+,2012,13 October 2024
Fight My Way,http://thefangirlverdict.com/2017/10/05/review-fight-my-way/,B++,2017,13 October 2024
"Final Match, The [Last Match]",http://thefangirlverdict.com/2015/05/25/flash-review-the-final-match-last-match/,B-,2015,13 October 2024
Find Me In Your Memory [Memoir Of The Man],https://thefangirlverdict.com/2020/09/12/review-find-me-in-your-memory/,B+,2020,13 October 2024
Find Yourself [China],http://thefangirlverdict.com/2020/03/25/review-find-yourself-china/,B+,2020,13 October 2024
"First Half Of My Life, The [China]",http://thefangirlverdict.com/2018/01/12/flash-review-the-first-half-of-my-life-china/,A,2018,13 October 2024
First Love Again [China],https://thefangirlverdict.com/2021/10/25/dropped-first-love-again-china/,D,2021,13 October 2024
First Love: Hatsukoi [Japan],https://thefangirlverdict.com/2023/01/08/review-first-love-hatsukoi-japan/,A,2023,13 October 2024
Five Children [Five Enough],http://thefangirlverdict.com/2016/12/03/flash-review-five-children-five-enough/,B+,2016,13 October 2024
Flower Boy Next Door,http://thefangirlverdict.com/2013/06/15/review-flower-boy-next-door/,B-,2013,13 October 2024
Flower Of Evil,https://thefangirlverdict.com/2020/11/21/review-flower-of-evil/,B,2020,13 October 2024
Forecasting Love And Weather,https://thefangirlverdict.com/2022/07/10/dropped-forecasting-love-and-weather/,D,2022,13 October 2024
Forever Love [China],https://thefangirlverdict.com/2024/09/16/flash-review-forever-love-china/,B,2024,13 October 2024
Fox Bride Star [Where Stars Land],http://thefangirlverdict.com/2018/12/04/review-fox-bride-star-where-stars-land/,B,2018,13 October 2024
"Full-Time Wife Escapist, The [Japan] [We Married As A Job]",https://thefangirlverdict.com/2017/09/14/flash-review-we-married-as-a-job-japan/,A-,2017,13 October 2024
Gaksital [Bridal Mask],http://thefangirlverdict.com/2013/04/04/review-gaksital-bridal-mask/,A+,2013,13 October 2024
"Gentleman’s Dignity, A",http://thefangirlverdict.com/2012/12/12/review-a-gentlemans-dignity/,B-,2012,13 October 2024
"Girl Who Sees Smells, The [Sensory Couple]",http://thefangirlverdict.com/2015/06/23/flash-review-sensory-couple-the-girl-who-sees-smells/,C+,2015,13 October 2024
Girls’ Generation 1979 [Lingerie Girls’ Generation],http://thefangirlverdict.com/2017/10/23/flash-review-lingerie-girls-generation-girls-generation-1979/,A-,2017,13 October 2024
"Glory, The [Part 1]",https://thefangirlverdict.com/2023/02/27/review-the-glory-part-1/,B++,2023,13 October 2024
"Glory, The [Part 2]",https://thefangirlverdict.com/2023/04/16/review-the-glory-part-2/,B+,2023,13 October 2024
Go Ahead [China],https://thefangirlverdict.com/2023/11/12/flash-review-go-ahead-china/,A,2023,13 October 2024
Go Back Spouses [Go Back Couple],http://thefangirlverdict.com/2018/01/07/flash-review-go-back-spouses/,B++,2018,13 October 2024
Go Go Squid! [China],http://thefangirlverdict.com/2019/10/25/flash-review-go-go-squid-china/,B,2019,13 October 2024
"Go Ho’s Starry Night [Gogh, The Starry Night]",http://thefangirlverdict.com/2016/11/10/flash-review-go-hos-starry-night/,B+,2016,13 October 2024
Going To You At A Speed Of 493km [Love All Play],https://thefangirlverdict.com/2022/06/27/dropped-love-all-play/,D,2022,13 October 2024
Goong [Princess Hours],http://thefangirlverdict.com/2015/08/13/review-goong-princess-hours/,B+,2015,13 October 2024
Goong S [Prince Hours],http://thefangirlverdict.com/2015/11/02/flash-review-goong-s-prince-hours/,C+,2015,13 October 2024
Graceful Family,http://thefangirlverdict.com/2020/01/09/dropped-graceful-family/,D,2020,13 October 2024
Greasy Melo [Wok Of Love],http://thefangirlverdict.com/2018/06/16/dropped-greasy-melo-wok-of-love/,D ,2018,13 October 2024
Gunman In Joseon [Joseon Gunman],http://thefangirlverdict.com/2015/05/05/flash-review-joseon-gunman/,B,2015,13 October 2024
Haeundae Lovers,http://thefangirlverdict.com/2014/09/05/review-haeundae-lovers/,C+,2014,13 October 2024
Handmade Love [Web Drama],https://thefangirlverdict.com/2021/05/17/flash-review-handmade-love-web-drama/,B,2021,13 October 2024
Happiness,https://thefangirlverdict.com/2022/02/10/review-happiness/,B++,2022,13 October 2024
Healer,http://thefangirlverdict.com/2016/07/22/review-healer/,A+,2016,13 October 2024
Heartbeat,https://thefangirlverdict.com/2023/10/08/review-heartbeat/,B,2023,13 October 2024
Heartless City [Cruel City],http://thefangirlverdict.com/2016/04/01/flash-review-heartless-city-cruel-city/,B+,2016,13 October 2024
Heart To Heart,http://thefangirlverdict.com/2015/04/30/review-heart-to-heart/,B+,2015,13 October 2024
"Heavenly Idol, The",https://thefangirlverdict.com/2023/04/23/review-the-heavenly-idol/,C+,2023,13 October 2024
Heirs [The Heirs],http://thefangirlverdict.com/2014/01/31/review-heirs/,C+,2014,13 October 2024
Hellbound,https://thefangirlverdict.com/2022/01/17/review-hellbound/,B,2022,13 October 2024
"Hello, Me!",https://thefangirlverdict.com/2021/10/18/review-hello-me/,B++,2021,13 October 2024
"Hello, My Twenties! [Age Of Youth]",http://thefangirlverdict.com/2017/03/16/flash-review-age-of-youth/,B++,2017,13 October 2024
"Hello, My Twenties! 2 [Age Of Youth 2]",http://thefangirlverdict.com/2018/03/26/review-age-of-youth-2/,B++,2018,13 October 2024
Her Lovely Heels,http://thefangirlverdict.com/2014/10/07/review-her-lovely-heels/,C-,2014,13 October 2024
Her Private Life,http://thefangirlverdict.com/2019/06/13/review-her-private-life/,B++,2019,13 October 2024
Here’s My Plan,https://thefangirlverdict.com/2021/06/25/flash-review-heres-my-plan-drama-special/,B++,2021,13 October 2024
Hey Ana! Let’s Eat! [Web Drama],https://thefangirlverdict.com/2021/02/27/flash-review-lets-eat-something-anna-web-drama/,B+,2021,13 October 2024
"Hi Bye, Mama!",http://thefangirlverdict.com/2020/09/07/review-hi-bye-mama/,B+,2020,13 October 2024
Hi Venus [China],https://thefangirlverdict.com/2023/12/03/flash-review-hi-venus-china/,B+,2023,13 October 2024
Hidden Identity,http://thefangirlverdict.com/2015/08/20/dropped-hidden-identity/,D,2015,13 October 2024
Hidden Love [China],https://thefangirlverdict.com/2023/08/27/review-hidden-love-china/,A-,2023,13 October 2024
High-end Crush,http://thefangirlverdict.com/2016/03/10/dropped-high-end-crush/,D,2016,13 October 2024
High School King,http://thefangirlverdict.com/2014/12/24/review-high-school-king/,C,2014,13 October 2024
High School Love On,http://thefangirlverdict.com/2015/02/22/dropped-high-school-love-on/,D,2015,13 October 2024
High Society,http://thefangirlverdict.com/2015/08/03/flash-review-high-society/,C,2015,13 October 2024
History of the Salaryman,http://thefangirlverdict.com/2012/12/12/review-history-of-the-salaryman/,B+,2012,13 October 2024
Ho Goo’s Love,http://thefangirlverdict.com/2015/05/21/dropped-ho-goos-love/,D,2015,13 October 2024
Hold My Hand At Twilight [Japan],https://thefangirlverdict.com/2024/07/07/review-hold-my-hand-at-twilight-japan/,B+,2024,13 October 2024
Home Sweet Home [Drama Special],https://thefangirlverdict.com/2020/11/25/flash-review-home-sweet-home-drama-special/,B+,2020,13 October 2024
Hometown Cha Cha Cha,https://thefangirlverdict.com/2021/11/28/review-hometown-cha-cha-cha/,B++ ,2021,13 October 2024
Homme Fatale [Movie],https://thefangirlverdict.com/2022/05/09/flash-review-homme-fatale-movie/,B+,2022,13 October 2024
Hospital Playlist,http://thefangirlverdict.com/2020/07/16/review-hospital-playlist/,A-,2020,13 October 2024
Hospital Playlist 2,https://thefangirlverdict.com/2021/09/19/review-hospital-playlist-2/,A-,2021,13 October 2024
Hot Stove League,http://thefangirlverdict.com/2020/03/30/flash-review-stove-league/,B++,2020,13 October 2024
Hot Young Bloods [Movie],http://thefangirlverdict.com/2014/05/21/review-hot-young-bloods-hot-blooded-youth/,A-,2014,13 October 2024
Hotel Del Luna,http://thefangirlverdict.com/2020/02/15/review-hotel-del-luna/,B-,2020,13 October 2024
How Long Will I Love U [Chinese Movie],http://thefangirlverdict.com/2019/02/20/flash-review-how-long-will-i-love-u-chinese-movie/,B+,2019,13 October 2024
Human Disqualification [Lost],https://thefangirlverdict.com/2021/12/04/review-lost-human-disqualification/,A,2021,13 October 2024
Hundred Million Stars From The Sky [The Smile Has Left Your Eyes],http://thefangirlverdict.com/2019/05/28/flash-review-the-smile-has-left-your-eyes-hundred-million-stars-from-the-sky/,B,2019,13 October 2024
Hwarang,http://thefangirlverdict.com/2017/04/27/dropped-hwarang/,D,2017,13 October 2024
"Hyde, Jekyll, Me",http://thefangirlverdict.com/2015/05/12/dropped-hyde-jekyll-me/,D,2015,13 October 2024
Hyena,http://thefangirlverdict.com/2020/06/23/review-hyena/,B,2020,13 October 2024
Hymn Of Death [Mini Series],https://thefangirlverdict.com/2022/05/20/flash-review-hymn-of-death-mini-series/,B+,2022,13 October 2024
I Can Speak [Movie],http://thefangirlverdict.com/2018/05/07/flash-review-i-can-speak-movie/,A-,2018,13 October 2024
"I Do, I Do",http://thefangirlverdict.com/2013/01/15/review-i-do-i-do/,B-,2013,13 October 2024
I Hear Your Voice [I Can Hear Your Voice],http://thefangirlverdict.com/2013/10/11/review-i-hear-your-voice/,A+,2013,13 October 2024
I Know I Love You [China],https://thefangirlverdict.com/2024/02/26/review-i-know-i-love-you-china/,B++,2024,13 October 2024
I Miss You [Missing You],http://thefangirlverdict.com/2014/12/27/dropped-i-miss-you/,D,2014,13 October 2024
I Need Romance 2012,http://thefangirlverdict.com/2013/02/09/review-i-need-romance-2012/,C-,2013,13 October 2024
I Need Romance 3,http://thefangirlverdict.com/2014/07/31/review-i-need-romance-3/,B-,2014,13 October 2024
I Order You,http://thefangirlverdict.com/2015/10/29/dropped-i-order-you/,D,2015,13 October 2024
